Sl.NO.,Heads of Crime ,Major heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
422,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MLA,0,0,0,0,,,,,,,
423,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MP,0,0,0,0,,,,,,,
424,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Nationalised Bank Personnel,0,0,0,0,,,,,,,
425,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0,0,0,0,,,,,,,
426,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0,,,,,,,
427,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,3,0,0,1,,,,,,,
428,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0,,,,,,,
429,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,1,0,0,0,,,,,,,
430,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,0,0,0,,,,,,,
431,A - IPC Crime,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,0,0,0,0,,,,,,,
432,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,28,10,5,13,,,,,,,
433,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,27,1,3,5,,,,,,,
434,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,3,0,0,1,,,,,,,
435,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,19,0,3,5,,,,,,,
436,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,8,2,3,0,,,,,,,
437,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,45,9,3,19,,,,,,,
438,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,3,2,0,1,,,,,,,
439,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,541,60,85,84,,,,,,,
440,A - IPC Crime,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,300,31,22,39,,,,,,,
441,A - IPC Crime,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,1,1,0,0,,,,,,,
442,A - IPC Crime,SEDITION (Sec. 124A IPC),Attempt to Commit,0,0,0,0,,,,,,,
443,A - IPC Crime,SEDITION (Sec. 124A IPC),By Foreigner,0,0,0,0,,,,,,,
444,A - IPC Crime,SEDITION (Sec. 124A IPC),By National,0,0,0,0,,,,,,,
445,A - IPC Crime,SEDITION (Sec. 124A IPC),By National And Foreigner,0,0,0,0,,,,,,,
446,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Attempt to Commit,0,2,0,0,,,,,,,
447,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Office,3,2,1,0,,,,,,,
448,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Conveyance,1,0,0,1,,,,,,,
449,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Place,19,2,6,6,,,,,,,
450,A - IPC Crime,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Other Places,25,6,5,5,,,,,,,
451,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,1,1,0,0,,,,,,,
452,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,117,15,26,22,,,,,,,
453,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,123,26,18,26,,,,,,,
454,A - IPC Crime,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,50,11,4,11,,,,,,,
455,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Abetment  ,0,0,0,0,,,,,,,
456,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Animal  ,0,0,0,0,,,,,,,
457,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Attempt,0,0,0,0,,,,,,,
458,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Man,1,0,0,1,,,,,,,
459,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Major - Woman,0,0,0,0,,,,,,,
460,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Boy,0,0,0,0,,,,,,,
461,A - IPC Crime,UNNATURAL SEX (Sec.377 IPC),Minor - Girl,0,0,0,0,,,,,,,
462,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Attempt to Commit,12,1,1,6,,,,,,,
463,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Confession,3,0,0,1,,,,,,,
464,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To Extort Property,10,1,2,3,,,,,,,
465,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),To settle Dispute,6,2,1,2,,,,,,,
466,A - IPC Crime,WRONGFUL RESTRAINT/CONFINEMENT (Sec.341 to 348 IPC),Others,138,27,38,18,,,,,,,
467,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Male,0,0,0,0,,,,,,,
468,A - IPC Crime,"INFANTICIDE (Sec.315, 316 IPC)",Female,0,0,0,0,,,,,,,
469,A - IPC Crime,OFFENCES RELATED TO MARRIAGE (Sec.493 to 498 IPC),NA,18,5,1,4,,,,,,,
470,A - IPC Crime,"BUYING & SELLING MINOR FOR PROSTITUTION (Sec.372, 373 IPC)",NA,0,0,0,0,,,,,,,
471,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Documents  ,0,0,0,0,,,,,,,
472,A - IPC Crime,DOCUMENTS & PROPERTY MARKS (Sec.483 to 489 IPC),Property  ,0,0,0,0,,,,,,,
473,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Persons ,3,0,0,1,,,,,,,
474,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Printed Matter,2,1,0,0,,,,,,,
475,A - IPC Crime,DEFAMATION (Sec.500 to 502 IPC),Others,1,0,0,0,,,,,,,
476,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Assembly,5,386,3,2,,,,,,,
477,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Parliament,149,1,94,22,,,,,,,
478,A - IPC Crime,ELECTION(Sec.171(E) to 171(1) IPC),Other Elected Bodies,9,6,0,6,,,,,,,
479,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Man,0,0,0,0,,,,,,,
480,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Woman,0,0,0,0,,,,,,,
481,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Boy,0,0,0,0,,,,,,,
482,A - IPC Crime,"SLAVERY (Sec.370, 371, 374 IPC)",Girl,0,0,0,0,,,,,,,
483,A - IPC Crime,Attempting to commit offences (Sec.511 IPC),Attempting to commit offences,90,7,18,18,,,,,,,
484,A - IPC Crime,ILLEGAL DETENTION (Sec.342 IPC),NA,0,0,0,0,,,,,,,
485,A - IPC Crime,FALSE EVIDENCE (Sec.191 to 205 IPC),NA,3,0,1,0,,,,,,,
486,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Boy ,17,2,2,1,,,,,,,
487,A - IPC Crime,EXPOSURE AND ABANDONMENT OF CHILD (Sec.317 IPC),Girl,4,1,0,2,,,,,,,
488,A - IPC Crime,OF ABETMENT (Sec.107 to 120 IPC),NA,3,1,0,1,,,,,,,
489,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",174 A,32,1,5,4,,,,,,,
490,A - IPC Crime,"FAILURE TO APPEAR TO COURT (Sec.174, 229A IPC)",229 A,141,2,28,9,,,,,,,
491,A - IPC Crime,Concealment of birth by secret disposal of Child,Girl,4,4,0,1,,,,,,,
492,A - IPC Crime,Concealment of birth by secret disposal of Child,Boy,12,1,5,1,,,,,,,
493,A - IPC Crime,ASSAULT OR USE OF CRIMINAL FORCE TO DISROBE WOMEN,NA,8,1,0,4,,,,,,,
494,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Others,0,1,0,0,,,,,,,
495,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,10,45,6,2,,,,,,,
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,7,15,0,1,,,,,,,
497,A - IPC Crime,Human Trafficking,Eunuch,2,0,0,1,,,,,,,
498,A - IPC Crime,Human Trafficking,Men,0,0,0,0,,,,,,,
499,A - IPC Crime,Human Trafficking,Boy,4,0,1,1,,,,,,,
500,A - IPC Crime,Human Trafficking,Women,1,0,0,1,,,,,,,
501,A - IPC Crime,Human Trafficking,Girl,0,0,0,0,,,,,,,
502,A - IPC Crime,Aadhaar Act,Impersonation,0,0,0,0,,,,,,,
503,A - IPC Crime,Aadhaar Act,Offence by Company,0,0,0,0,,,,,,,
504,A - IPC Crime,Aadhaar Act,Offence by individual,0,0,0,0,,,,,,,
505,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,1,0,1,0,,,,,,,
506,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0,0,0,0,,,,,,,
507,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,2,0,1,0,,,,,,,
508,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,11,0,3,2,,,,,,,
509,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,40,10,11,9,,,,,,,
510,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,3,0,0,3,,,,,,,
511,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,31,6,9,11,,,,,,,
512,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,1,0,0,0,,,,,,,
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,11,3,0,2,,,,,,,
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,1,0,0,1,,,,,,,
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,11,1,2,3,,,,,,,
516,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,61,7,13,14,,,,,,,
517,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0,0,0,0,,,,,,,
518,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,1,0,0,0,,,,,,,
519,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,68,11,11,15,,,,,,,
520,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0,0,0,0,,,,,,,
521,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,2,0,0,0,,,,,,,
522,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,2,0,0,1,,,,,,,
523,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0,0,0,0,,,,,,,
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,36,0,6,5,,,,,,,
525,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,4,0,1,1,,,,,,,
526,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,219,20,46,46,,,,,,,
527,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,0,0,0,0,,,,,,,
528,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0,,,,,,,
529,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,60,7,6,13,,,,,,,
530,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,36,2,5,7,,,,,,,
531,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,0,0,0,0,,,,,,,
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,575,90,112,98,,,,,,,
533,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,136,25,28,22,,,,,,,
534,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,221,29,40,42,,,,,,,
535,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,55,7,10,8,,,,,,,
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,30,19,7,4,,,,,,,
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,67,10,19,20,,,,,,,
538,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,73,12,25,18,,,,,,,
539,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,0,0,0,,,,,,,
540,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0,,,,,,,
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0,,,,,,,
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0,,,,,,,
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0,,,,,,,
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0,,,,,,,
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0,,,,,,,
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0,,,,,,,
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,,,,,,,
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,,,,,,,
549,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,,,,,,,
550,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,,,,,,,
551,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,14,3,1,2,,,,,,,
552,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,22,0,4,2,,,,,,,
553,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0,,,,,,,
554,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,,,,,,,
555,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,,,,,,,
556,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,,,,,,,
557,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,7,0,0,6,,,,,,,
558,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0,,,,,,,
559,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,1,0,0,,,,,,,
560,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,4,0,0,0,,,,,,,
561,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,,,,,,,
562,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,,,,,,,
563,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,,,,,,,
564,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,,,,,,,
565,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,105,15,10,26,,,,,,,
566,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,39,7,2,6,,,,,,,
567,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,0,1,0,0,,,,,,,
568,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,39,1,10,6,,,,,,,
569,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,510,292,79,75,,,,,,,
570,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,877,150,138,168,,,,,,,
571,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,1,0,1,0,,,,,,,
572,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,1,3,0,0,,,,,,,
573,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,3,171,2,0,,,,,,,
574,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,100,0,67,24,,,,,,,
575,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,10,3,4,,,,,,,
576,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),2070,315,293,306,,,,,,,
577,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),2605,261,717,412,,,,,,,
578,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),95,9,19,20,,,,,,,
579,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,357,73,171,114,,,,,,,
580,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,286,55,48,29,,,,,,,
581,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,73,10,11,20,,,,,,,
582,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",OFFICIAL SECURITY RELATED ACTS,,,,,,,,,,,
583,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1981",Official Secrets Act 1923,0,0,0,0,,,,,,,
584,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1982",Essential Services Maintenance Act 1981,0,0,0,0,,,,,,,
585,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0,,,,,,,
586,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,0,0,1,,,,,,,
587,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0,,,,,,,
588,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,4,0,1,0,,,,,,,
589,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,859,151,145,188,,,,,,,
590,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,,,,,,,
591,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0,1,0,0,,,,,,,
592,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,,,,,,,
593,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,2,0,1,0,,,,,,,
594,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,359,37,35,95,,,,,,,
595,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,86,7,21,14,,,,,,,
596,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,11,0,0,0,,,,,,,
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0,,,,,,,
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0,,,,,,,
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,72,10,8,17,,,,,,,
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,1,0,0,,,,,,,
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0,,,,,,,
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,3351,675,879,280,,,,,,,
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,24,4,2,0,,,,,,,
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,4,2,0,0,,,,,,,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,1,0,0,1,,,,,,,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,,,,,,,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0,,,1255,,,,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,0,0,0,0,,,,,,,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,10,0,1,3,,,,,,,
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,,,7,,,,
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0,,,1,,,,
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,26,0,5,4,,,0,,,,
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0,,,2,,,,
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,0,1,0,0,,,8,,,,
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,0,0,0,,,60,,,,
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,1,1,0,0,,,0,,,,
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,1,0,0,1,,,0,,,,
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0,,,65,,,,
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,21,3,4,0,,,3,,,,
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,,1,,,,
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0,,,1,,,,
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,0,0,0,0,,,2,,,,
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0,,,4,,,,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,,1,,,,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,,,18,,,,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,30,39,9,6,,,0,,,,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,,,1,,,,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,,3,,,,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,,5,,,,
